titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
"Apple MacBook Pro 14"" M2 (2023)
Space Gray (MPHE3D/A)",,Portátil multimedia,Apple MacBook Pro,14.2,36.068,Retina,1.0,Apple M2 Pro,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,79 teclas,,2.0,polímero de litio,18 h,70.0,67 W,no,aluminio,con tapa,"22,1 cm",16 mm,"31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2023.0,IEEE 802.11ax,3.024 x 1.964 píxeles,254 ppp,,Apple,,1.0,Apple,memoria compartida,macOS Ventura,SDXC,altavoces estéreo,,,,,16 GB RAM,,,512 GB,,,gris,,10.0,,,,,,,,Apple M2 Pro Graphics,,ninguno,,,,,,,,,,,,,,,,16-Core GPU,,,,,,,,,,,,,,,Laptop,,,,,1920x1080,79.0,18.0,67.0,22.1,16.0,31.3,1.6,3024x1964,254.0,,,16.0,,512.0,,,,,,,,,,,Laptop
Techbite Arc 11,1.0,Portátil multimedia,,11.6,29.464,HD Ready,,Intel Celeron N4020,memoria flash,Mini HDMI,integrado,"wifi, Bluetooth",Bluetooth 4.0,integrada,,,,,,,,,,,,,con tapa,"27,8 cm",20 mm,19 cm,"1,1 kg","lector de tarjetas, webcam",,,2023.0,,1.366 x 768 píxeles,,,Intel,Intel Celeron,1.0,Intel,memoria compartida,Windows 10 Professional,MicroSD,,16:9,Gemini Lake,L2,4 MB,4 GB RAM,LPDDR4,,128 GB,,,negro,,2.0,"1,1 GHz","2,8 GHz",6 W,,64.0,,,Intel UHD Graphics 600,,,"7,4 V",,,,,,4000 mAh,,,,,,,,,,,,,,,,,,,,,,,,Laptop,215.68,215.68,215.68,,,,,,27.8,20.0,19.0,1.1,1366x768,,,4.0,4.0,,128.0,,1.1,2.8,6.0,,7.4,,4000.0,,,Laptop
"Acer Aspire 3 A315-59
A315-59-57AU",1.0,Portátil multimedia,Acer Aspire,15.6,39.62,,,,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,,,,,40.0,,,,con tapa,"24,1 cm",20 mm,"36,3 cm","1,86 kg",webcam,,,2022.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,,,,,,Windows 11 Home,,,16:9,,,,4 GB RAM,DDR4,,512 GB,,,,,,,,,,64.0,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,559.21,559.21,559.21,,,,,,24.1,20.0,36.3,1.86,1920x1080,,,,4.0,,512.0,,,,,,,,,,,Laptop
Blackview AceBook 8,2.0,Portátil multimedia,,15.6,39.624,Full HD,,Intel Processor N97,SSD,HDMI 2.0,integrado,"Bluetooth, wifi",Bluetooth 5.0,integrada,,,,,,2.0,,,38.0,36 W,,,con tapa,"23,4 cm",20 mm,36 cm,"1,6 kg",,,,2024.0,,1.920 x 1.080 píxeles,,,,,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,,16:9,,,,16 GB RAM,DDR4,,512 GB,,,gris,,,,,,,,,,Intel UHD Graphics,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,289.0,452.19,370.6,,,,,36.0,23.4,20.0,36.0,1.6,1920x1080,,,,16.0,,512.0,,,,,,,,,,,Laptop
"LG Gram Pro 16 2024
16Z90SP-K.AA75B",1.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA+,,Intel Core Ultra 7 155H,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,ión-litio,,90.0,90 W,,,con tapa,"25,2 cm",14 mm,"35,8 cm","1,28 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:10,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,7.467 MHz,512 GB,teclado iluminado,,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,64.0,,,Intel Arc Graphics,,,,,teclado numérico,,,,,,,2x SO-DIMM,,,,,,,,,Intel AI Boost,,,,,,,,,,,,Laptop,2049.0,2049.0,2049.0,,,,,90.0,25.2,14.0,35.8,1.28,2880x1800,,120.0,24.0,16.0,7467.0,512.0,,3.8,4.8,28.0,,,,,,,Laptop
"Razer Blade 18 (2023)
RZ09-0484SFH3-R3F1",1.0,Portátil gaming,Razer Blade,18.0,45.72,,,Intel Core i9-13950HX,,,integrado,"wifi, Bluetooth, LAN",,5.0 Mpx,compatible con HD,2592 x 1944 píxeles,,,,6.0,,,92.0,280 W,,aluminio,con tapa,"27,5 cm",22 mm,40 cm,"3,2 kg","USB-C, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i9,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,SD,,16:10,Raptor Lake,L3,36 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,,,negro,,24.0,"1,6 GHz","5,5 GHz",55 W,GDDR6,64.0,3 ms,,NVIDIA GeForce RTX 4070,,ninguno,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,3756.41,3756.41,3756.41,,2592x1944,,,280.0,27.5,22.0,40.0,3.2,2560x1600,,,36.0,32.0,5600.0,1000.0,,1.6,5.5,55.0,,,,,,,Laptop
"Huawei MateBook D16 (2024)
53013XAE",1.0,Portátil multimedia,Huawei MateBook,16.0,40.64,WUXGA,300.0,Intel Core i5-13420H,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,,56.0,,,,con tapa,"24,9 cm",17 mm,"35,7 cm","1,68 kg","USB-C, altavoces estéreo, webcam",,,2024.0,,1.920 x 1.200 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:10,Raptor Lake-H,L3,12 MB,16 GB RAM,LPDDR4X,,1.000 GB,,,gris,,8.0,"1,5 GHz","4,6 GHz",45 W,,64.0,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1681.69,1681.69,1681.69,,1280x720,,,,24.9,17.0,35.7,1.68,1920x1200,,,12.0,16.0,,1000.0,,1.5,4.6,45.0,,,,,,,Laptop
"Alurin Zenith
S7831139",2.0,Portátil multimedia,,15.6,39.624,Full HD,,AMD Ryzen 7 5700U,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.2,2.0 Mpx,,,,,,,,,55.0,,,,con tapa,"23,6 cm",26 mm,36 cm,"1,75 kg",,,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 7,1.0,,memoria compartida,Windows 11 Home,MicroSD,,,Lucienne U,L3,8 MB,16 GB RAM,,,1.000 GB,,,gris,,8.0,"1,8 GHz","4,3 GHz",25 W,,,,,AMD Radeon Graphics,,,"11,4 V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2163.99,2679.21,2421.6,,,,,,23.6,26.0,36.0,1.75,1920x1080,,,8.0,16.0,,1000.0,,1.8,4.3,25.0,,11.4,,,,,Laptop
"HP 15s (2021)
15s-fq4102ns",1.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i7-1195G7,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,"7,25 h",41.0,45 W,,,con tapa,"24,2 cm",18 mm,"35,9 cm","1,69 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2019.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,Tiger Lake UP3,L3,12 MB,8 GB RAM,DDR4,,256 GB,,3.0,plateado,,4.0,"2,9 GHz",5 GHz,28 W,,64.0,,,Intel Iris Xe Graphics,,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,,2 x 4 GB,,,,,,,,,,,,,,,,,,,Laptop,689.0,689.0,689.0,,1280x720,,7.25,45.0,24.2,18.0,35.9,1.69,1920x1080,,,12.0,8.0,,256.0,,2.9,5.0,28.0,,,,,,,Laptop
"Microsoft Surface Laptop 7 13.8
16GB/512GB Platinum ZGP-00005",1.0,Portátil profesional,Microsoft Surface,13.8,35.052,,600.0,Qualcomm Snapdragon X Elite X1E-78-100,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,13 h,54.0,39 W,,aluminio,con tapa,22 cm,18 mm,"30,1 cm","1,34 kg","webcam, altavoces estéreo, USB-C",,,2024.0,IEEE 802.11be,2.304 x 1.536 píxeles,,,Qualcomm,Qualcomm Snapdragon X Elite,1.0,Qualcomm,memoria compartida,Windows 11 Home,,,3:2,Oryon,,42 MB,16 GB RAM,,,512 GB,,,plateado,,12.0,"3,4 GHz",,,,64.0,,,Qualcomm Adreno X Elite,,,,,,,,,,,Microsoft Copilot,,,,,,,,capacitiva,,Qualcomm Hexagon,,,,,,,,,,,,Laptop,2043.37,2043.37,2043.37,,1920x1080,,13.0,39.0,22.0,18.0,30.1,1.34,2304x1536,,,42.0,16.0,,512.0,,3.4,,,,,,,,,Laptop
"ASUS TUF Gaming F15 (TUF506)
TUF506HM-HN211",1.0,Portátil gaming,ASUS TUF Gaming,15.6,39.62,Full HD,250.0,Intel Core i7-11800H,PCIe SSD,,,"wifi, Bluetooth, LAN",Bluetooth 5.2,0.7 Mpx,,,teclado tipo chicle,,,,ión-litio,,48.0,180 W,,,,"25,6 cm",25 mm,"35,9 cm","2,3 kg",webcam,"contraseña de supervisor, bloqueo Kensington",,,,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i7,1.0,NVIDIA,4.096 MB / 4 GB,sin sistema operativo,,,16:9,Tiger Lake H45,L3,24 MB,8 GB RAM,DDR4,,512 GB,teclado iluminado,3.0,negro,,8.0,"2,3 GHz","4,6 GHz",45 W,GDDR6,,,32 GB,NVIDIA GeForce RTX 3060,,ninguno,20 V,9 A,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1717.66,1717.66,1717.66,,,,,180.0,25.6,25.0,35.9,2.3,1920x1080,,144.0,24.0,8.0,,512.0,,2.3,4.6,45.0,32.0,20.0,9.0,,,,Laptop
"Lenovo V15 G4
83A1008VIX",1.0,Portátil multimedia,,15.6,39.624,,250.0,Intel Core i5-13420H,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","lector de tarjetas, webcam, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,,,,Windows 11 Professional,,,16:9,Raptor Lake-H,L3,12 MB,8 GB RAM,DDR4,,256 GB,,2.0,negro,,8.0,"1,5 GHz","4,6 GHz",45 W,,64.0,,,,,,20 V,"3,25 A",,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,552.81,552.81,552.81,,,,8.4,65.0,23.6,20.0,35.9,1.65,1920x1080,,,12.0,8.0,,256.0,,1.5,4.6,45.0,,20.0,3.25,,,,Laptop
"Dell Vostro 3501
1DT1P",2.0,Portátil profesional,,15.6,39.62,,,Intel Core i3-1005G1,PCIe SSD,,,"wifi, Bluetooth, LAN, infrarrojos",,,compatible con HD,1280 x 720 píxeles,,,teclado numérico,,,,,,,,con tapa,"24,9 cm",19 mm,"36,4 cm","1,8 kg",,,,,IEEE 802.11ac,1.366 x 768 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 10 Professional,MicroSD,,,,,4 MB,4 GB RAM,DDR4,2.666 MHz,256 GB,,3.0,negro,,2.0,"1,2 GHz","3,4 GHz",,,64.0,,,Intel UHD Graphics,,ninguno,,,,,Gigabit-LAN,,,,,,,1 x 4 GB,,,,,,,,,256 GB,España,,,,,,,,,Laptop,586.77,603.32,595.05,,1280x720,,,,24.9,19.0,36.4,1.8,1366x768,,,4.0,4.0,2666.0,256.0,,1.2,3.4,,,,,,256.0,,Laptop
"Medion Akoya S15449
S15449-MD62015",1.0,Portátil multimedia,Medion Akoya,15.6,39.62,Full HD,,Intel Core i5-1135G7,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,"8,5 h",42.0,,,,con tapa,"24,4 cm",18 mm,36 cm,"1,78 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2021.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 10 Home,,altavoces estéreo,16:9,Tiger Lake UP3,L3,8 MB,16 GB RAM,DDR4,,512 GB,,3.0,gris,,4.0,"2,4 GHz","4,2 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,571.27,571.27,571.27,,1280x720,,8.5,,24.4,18.0,36.0,1.78,1920x1080,,,8.0,16.0,,512.0,,2.4,4.2,15.0,,,,,,,Laptop
Samsung Galaxy Book 3 Pro 16,2.0,Portátil multimedia,Samsung Galaxy Book,16.0,40.64,,400.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,76.0,,,,con tapa,25 cm,13 mm,"35,5 cm","1,56 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,,,,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1266.25,1909.36,1587.8,,1920x1080,,,,25.0,13.0,35.5,1.56,,,,,,,,8.0,,,,,,,,,,Laptop
"Apple MacBook Air 13"" 2022 M2
Space Gray Z15T-0100000",,Portátil multimedia,Apple MacBook Air,13.6,34.544,Retina,500.0,Apple M2,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",4.0,polímero de litio,15 h,52.6,30 W,no,aluminio,con tapa,"21,5 cm",11 mm,"30,4 cm","1,24 kg","micrófono integrado, webcam, Touchpad multitáctil, altavoces estéreo, Force Touch Trackpad, Touch ID, USB-C",lector de huellas digitales,sensor de luminosidad,2022.0,,2.560 x 1.664 píxeles,,,Apple,,1.0,,memoria compartida,macOS Ventura,,,,,,,16 GB RAM,,,512 GB,,,gris,,8.0,,,,,,,,Apple M2 Graphics,,ninguno,,,,,,,,,,,,,,,,10-Core GPU,,,,,,,,,,,,,,,Laptop,,,,6016x3384,1920x1080,79.0,15.0,30.0,21.5,11.0,30.4,1.24,2560x1664,,,,16.0,,512.0,,,,,,,,,,,Laptop
"Acer Swift 14 AI SF14-11
SF14-11-X8MN",2.0,Portátil multimedia,Acer Swift,14.0,35.56,WQXGA,,Qualcomm Snapdragon X Plus X1P-64-100,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,2560 x 1440 píxeles,,,,,ión-litio,16 h,75.0,,,aluminio,con tapa,"22,6 cm",15 mm,"32,3 cm","1,36 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11be,2.560 x 1.600 píxeles,,120 Hz,Qualcomm,Qualcomm Snapdragon X Plus,1.0,Qualcomm,memoria compartida,Windows 11 Home,,DTS X,16:10,Oryon,,42 MB,16 GB RAM,LPDDR5X,,1.000 GB,,3.0,gris,,10.0,"3,4 GHz",,,,64.0,,,Qualcomm Adreno X Plus,,,,,,,,,,,Microsoft Copilot,,,,,,,,,,Qualcomm Hexagon,,,,,,,,,,,,Laptop,1174.87,1212.88,1193.88,,2560x1440,,16.0,,22.6,15.0,32.3,1.36,2560x1600,,120.0,42.0,16.0,,1000.0,,3.4,,,,,,,,,Laptop
"LG Gram 16 (2023)
16ZB90R-G.AP78G",1.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,350.0,Intel Core i7-1360P,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,"23,5 h",80.0,,,,con tapa,"24,2 cm",17 mm,"35,5 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Professional,MicroSD,,16:10,Raptor Lake-P,L3,18 MB,16 GB RAM,LPDDR4X,,1.000 GB,,,negro,,12.0,"2,2 GHz",5 GHz,28 W,,64.0,,,Intel Iris Xe Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1714.99,1714.99,1714.99,,1920x1080,,23.5,,24.2,17.0,35.5,1.2,2560x1600,,,18.0,16.0,,1000.0,,2.2,5.0,28.0,,,,,,,Laptop
"HP ZBook Firefly 16 G9
6B875EA",3.0,Portátil profesional,HP ZBook,16.0,40.64,WUXGA,250.0,Intel Core i5-1240P,SSD,,,"wifi, Bluetooth",Bluetooth 5.2,5.0 Mpx,,,,,,2.0,,"11,5 h",51.0,65 W,,,con tapa,"25,1 cm",20 mm,"35,9 cm","1,8 kg","webcam, altavoces estéreo, USB-C",,,2022.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:10,Alder Lake-P,L3,12 MB,16 GB RAM,DDR5,4.800 MHz,512 GB,,3.0,plateado,,12.0,"1,2 GHz","4,4 GHz",28 W,,64.0,,64 GB,Intel Iris Xe Graphics,,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,,1 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1414.9,1556.43,1485.66,,,,11.5,65.0,25.1,20.0,35.9,1.8,1920x1200,,,12.0,16.0,4800.0,512.0,,1.2,4.4,28.0,64.0,,,,,,Laptop
"Microsoft Surface Laptop 5 13.5
i7 16 GB/512 GB negro RBG-00037",1.0,Portátil profesional,Microsoft Surface,13.5,34.29,WQHD,400.0,Intel Core i7-1255U,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,18 h,,,,aluminio,con tapa,"22,3 cm",15 mm,"30,8 cm","1,3 kg","USB-C, altavoces estéreo, webcam",,,2022.0,IEEE 802.11ax,2.256 x 1.504 píxeles,201 ppp,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,,3:2,Alder Lake-P,L3,12 MB,16 GB RAM,LPDDR5X,,512 GB,,,negro,,10.0,"1,2 GHz","4,7 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,"capacitiva, multitáctil de 10 puntos",,,,,,,,,,,,,,Laptop,1499.0,1499.0,1499.0,,1280x720,,18.0,,22.3,15.0,30.8,1.3,2256x1504,201.0,,12.0,16.0,,512.0,,1.2,4.7,15.0,,,,,,,Laptop
"ASUS Vivobook X15
X1504ZA-BQ831W",3.0,Portátil multimedia,ASUS Vivobook,15.6,39.624,,250.0,Intel Core i3-1215U,,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,,,,,,,ión-litio,,42.0,45 W,,,con tapa,"23,3 cm",18 mm,36 cm,"1,7 kg","webcam, USB-C",,,2023.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Alder Lake-P,L3,10 MB,8 GB RAM,DDR4,,512 GB,,3.0,azul,,6.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel UHD Graphics,,ninguno,19 V,"2,37 A",,,,,,,,1x SO-DIMM,0x SO-DIMM,1 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,597.27,726.49,661.88,,,,,45.0,23.3,18.0,36.0,1.7,1920x1080,,60.0,10.0,8.0,,512.0,,0.9,4.4,15.0,,19.0,2.37,,,,Laptop
"Lenovo V15 G4
83A1002CGE",1.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i3-1315U,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","lector de tarjetas, webcam, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:9,Raptor Lake-U,L3,10 MB,8 GB RAM,DDR4,,256 GB,,2.0,negro,,6.0,"0,9 GHz","4,5 GHz",15 W,,64.0,,,Intel UHD Graphics,,ninguno,20 V,"3,25 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,537.88,537.88,537.88,,,,8.4,65.0,23.6,20.0,35.9,1.65,1920x1080,,,10.0,8.0,,256.0,,0.9,4.5,15.0,,20.0,3.25,,,,Laptop
"Dell Vostro 3501
T67NX",2.0,Portátil profesional,,15.6,39.62,Full HD,,Intel Core i3-1005G1,SSD,,,"wifi, Bluetooth, LAN, infrarrojos",,,compatible con HD,1280 x 720 píxeles,,,teclado numérico,,,,,,,,con tapa,"24,9 cm",19 mm,"36,4 cm","1,8 kg",,,,,IEEE 802.11ac,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 10 Professional,MicroSD,,16:9,Ice Lake,L3,4 MB,8 GB RAM,DDR4,2.666 MHz,256 GB,,3.0,negro,,2.0,"1,2 GHz","3,4 GHz",15 W,,64.0,,,Intel UHD Graphics,,ninguno,,,,,Gigabit-LAN,,,,,,,1 x 8 GB,,,,,,,,,256 GB,España,,,,,,,,,Laptop,750.11,759.4,754.75,,1280x720,,,,24.9,19.0,36.4,1.8,1920x1080,,,4.0,8.0,2666.0,256.0,,1.2,3.4,15.0,,,,,256.0,,Laptop
"MSI Prestige 14 B13
B13UCX-477ES",1.0,Portátil multimedia,MSI Prestige,14.0,35.56,FHD+,,Intel Core i7-13620H,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,72.0,100 W,,,con tapa,"22,8 cm",18 mm,"31,4 cm","1,49 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core i7,1.0,NVIDIA,4.096 MB / 4 GB,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,LPDDR5,4.800 MHz,1.000 GB,teclado iluminado,4.0,plateado,,10.0,"1,8 GHz","4,9 GHz",45 W,GDDR6,64.0,,32 GB,NVIDIA GeForce RTX 2050,ninguna,ninguno,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1149.0,1149.0,1149.0,,1920x1080,,,100.0,22.8,18.0,31.4,1.49,1920x1200,,,24.0,16.0,4800.0,1000.0,4.0,1.8,4.9,45.0,32.0,,,,,,Laptop
