procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,alimentacion_vatios_hora,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,camara_resolucion_pixeles,pantalla_tecnologia,pantalla_resolucion_pixeles
4.4,10.0,256.0,8.0,4800.0,54.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.6,10.0,512.0,16.0,4800.0,50.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.5,12.0,512.0,16.0,3200.0,56.0,Intel Core i5-12500H,Intel Core i5,NVIDIA GeForce RTX 4060,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,8.0,512.0,8.0,2933.0,48.0,Intel Core i7-10870H,Intel Core i7,NVIDIA GeForce GTX 1660 Ti,DDR4,Windows 10 Home,1280x720,Full HD,1920x1080
4.8,12.0,1000.0,32.0,6400.0,57.0,Intel Core Ultra 7 155U,Intel Core Ultra 7,Intel Graphics,LPDDR5X,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.7,10.0,128.0,4.0,4800.0,38.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.8,16.0,512.0,16.0,5600.0,76.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,NVIDIA RTX A500,DDR5,Windows 11 Professional,1280x720,WUXGA,1920x1200
4.8,16.0,1000.0,16.0,6400.0,99.9,Intel Core Ultra 7 155H,Intel Core Ultra 7,NVIDIA GeForce RTX 4050,LPDDR5,Windows 11 Home,1920x1080,QHD+,2560x1600
5.1,16.0,1000.0,32.0,4800.0,75.0,Intel Core Ultra 9 185H,Intel Core Ultra 9,Intel Arc Graphics,LPDDR5X,Windows 11 Home,1920x1080,3K,2880x1800
4.6,10.0,256.0,8.0,4800.0,54.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.55,6.0,1000.0,16.0,4800.0,75.0,AMD Ryzen 5 7535HS,AMD Ryzen 5,AMD Radeon Graphics,DDR4,Windows 11 Home,1920x1080,WUXGA,1920x1200
5.0,12.0,512.0,16.0,4800.0,52.5,Intel Core i7-1360P,Intel Core i7,Intel Iris Xe Graphics,LPDDR5,Windows 11 Professional,1280x720,Full HD,1920x1200
4.9,10.0,512.0,16.0,4800.0,47.0,Intel Core i7-13620H,Intel Core i7,Intel UHD Graphics,LPDDR5,Free DOS,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,3200.0,35.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,12.0,512.0,16.0,4800.0,65.0,Intel Core i5-13500H,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,WUXGA,1920x1200
4.7,10.0,512.0,32.0,4800.0,56.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.6,10.0,512.0,8.0,4800.0,42.0,Intel Core i5-1335U,Intel Core i5,Intel UHD Graphics,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,51.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,10.0,512.0,16.0,3200.0,57.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.55,6.0,256.0,8.0,4800.0,56.0,AMD Ryzen 5 7535U,AMD Ryzen 5,AMD Radeon Graphics,DDR4,Windows 11 Professional,1280x720,WUXGA,1920x1200
4.7,10.0,512.0,16.0,4800.0,56.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,2880x1800
4.8,10.0,256.0,16.0,4800.0,56.0,Intel Core i7-1265U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,2256x1504
4.3,8.0,1000.0,16.0,3200.0,42.0,AMD Ryzen 7 5700U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
2.6,1.0,512.0,8.0,4800.0,45.0,Intel Core i3-1115G4,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,52.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.8,4.0,512.0,8.0,4800.0,42.0,Intel Core i7-11370H,Intel Core i7,Intel Iris Xe Graphics,DDR4,sin sistema operativo,1280x720,WUXGA,1920x1200
